date,blood_group,units_demanded
2009-08-25,A,351
2009-08-25,AB,73
2009-08-25,B,376
2009-08-25,O,569
2009-08-26,A,339
2009-08-26,AB,81
2009-08-26,B,333
2009-08-26,O,531
2009-08-27,A,343
2009-08-27,AB,77
2009-08-27,B,312
2009-08-27,O,561
2009-08-28,A,334
2009-08-28,AB,75
2009-08-28,B,289
2009-08-28,O,578
2009-08-29,A,318
2009-08-29,AB,74
2009-08-29,B,309
2009-08-29,O,515
2009-08-30,A,303
2009-08-30,AB,75
2009-08-30,B,295
2009-08-30,O,534
2009-08-31,A,365
2009-08-31,AB,64
2009-08-31,B,318
2009-08-31,O,553
2009-09-01,A,340
2009-09-01,AB,62
2009-09-01,B,287
2009-09-01,O,522
2009-09-02,A,313
2009-09-02,AB,63
2009-09-02,B,322
2009-09-02,O,495
2009-09-03,A,296
2009-09-03,AB,55
2009-09-03,B,277
2009-09-03,O,506
2009-09-04,A,292
2009-09-04,AB,69
2009-09-04,B,257
2009-09-04,O,509
2009-09-05,A,272
2009-09-05,AB,63
2009-09-05,B,234
2009-09-05,O,425
2009-09-06,A,254
2009-09-06,AB,60
2009-09-06,B,229
2009-09-06,O,420
2009-09-07,A,284
2009-09-07,AB,65
2009-09-07,B,265
2009-09-07,O,458
2009-09-08,A,239
2009-09-08,AB,47
2009-09-08,B,237
2009-09-08,O,406
2009-09-09,A,245
2009-09-09,AB,48
2009-09-09,B,225
2009-09-09,O,462
2009-09-10,A,252
2009-09-10,AB,71
2009-09-10,B,220
2009-09-10,O,466
2009-09-11,A,285
2009-09-11,AB,65
2009-09-11,B,233
2009-09-11,O,446
2009-09-12,A,245
2009-09-12,AB,51
2009-09-12,B,215
2009-09-12,O,376
2009-09-13,A,248
2009-09-13,AB,54
2009-09-13,B,227
2009-09-13,O,386
2009-09-14,A,243
2009-09-14,AB,62
2009-09-14,B,228
2009-09-14,O,423
2009-09-15,A,221
2009-09-15,AB,46
2009-09-15,B,181
2009-09-15,O,405
2009-09-16,A,168
2009-09-16,AB,43
2009-09-16,B,238
2009-09-16,O,372
2009-09-17,A,222
2009-09-17,AB,36
2009-09-17,B,221
2009-09-17,O,379
2009-09-18,A,207
2009-09-18,AB,46
2009-09-18,B,178
2009-09-18,O,328
2009-09-19,A,176
2009-09-19,AB,53
2009-09-19,B,172
2009-09-19,O,317
2009-09-20,A,156
2009-09-20,AB,67
2009-09-20,B,162
2009-09-20,O,298
2009-09-21,A,181
2009-09-21,AB,49
2009-09-21,B,158
2009-09-21,O,326
2009-09-22,A,160
2009-09-22,AB,44
2009-09-22,B,169
2009-09-22,O,347
2009-09-23,A,177
2009-09-23,AB,33
2009-09-23,B,159
2009-09-23,O,292
2009-09-24,A,197
2009-09-24,AB,44
2009-09-24,B,296
2009-09-24,O,334
2009-09-25,A,179
2009-09-25,AB,31
2009-09-25,B,185
2009-09-25,O,325
2009-09-26,A,168
2009-09-26,AB,42
2009-09-26,B,171
2009-09-26,O,321
2009-09-27,A,148
2009-09-27,AB,38
2009-09-27,B,167
2009-09-27,O,356
2009-09-28,A,207
2009-09-28,AB,40
2009-09-28,B,187
2009-09-28,O,393
2009-09-29,A,173
2009-09-29,AB,43
2009-09-29,B,200
2009-09-29,O,378
2009-09-30,A,192
2009-09-30,AB,32
2009-09-30,B,192
2009-09-30,O,425
2009-10-01,A,196
2009-10-01,AB,46
2009-10-01,B,223
2009-10-01,O,446
2009-10-02,A,248
2009-10-02,AB,63
2009-10-02,B,209
2009-10-02,O,403
2009-10-03,A,183
2009-10-03,AB,44
2009-10-03,B,164
2009-10-03,O,728
2009-10-04,A,192
2009-10-04,AB,46
2009-10-04,B,207
2009-10-04,O,416
2009-10-05,A,218
2009-10-05,AB,48
2009-10-05,B,202
2009-10-05,O,448
2009-10-06,A,208
2009-10-06,AB,52
2009-10-06,B,203
2009-10-06,O,448
2009-10-07,A,217
2009-10-07,AB,55
2009-10-07,B,236
2009-10-07,O,444
2009-10-08,A,245
2009-10-08,AB,44
2009-10-08,B,225
2009-10-08,O,489
2009-10-09,A,213
2009-10-09,AB,46
2009-10-09,B,219
2009-10-09,O,454
2009-10-10,A,207
2009-10-10,AB,42
2009-10-10,B,210
2009-10-10,O,929
2009-10-11,A,185
2009-10-11,AB,52
2009-10-11,B,200
2009-10-11,O,465
2009-10-12,A,230
2009-10-12,AB,51
2009-10-12,B,242
2009-10-12,O,458
2009-10-13,A,222
2009-10-13,AB,47
2009-10-13,B,211
2009-10-13,O,435
2009-10-14,A,227
2009-10-14,AB,52
2009-10-14,B,242
2009-10-14,O,471
2009-10-15,A,228
2009-10-15,AB,68
2009-10-15,B,275
2009-10-15,O,505
2009-10-16,A,232
2009-10-16,AB,49
2009-10-16,B,259
2009-10-16,O,456
2009-10-17,A,238
2009-10-17,AB,61
2009-10-17,B,233
2009-10-17,O,493
2009-10-18,A,236
2009-10-18,AB,67
2009-10-18,B,214
2009-10-18,O,503
2009-10-19,A,287
2009-10-19,AB,65
2009-10-19,B,302
2009-10-19,O,538
2009-10-20,A,251
2009-10-20,AB,61
2009-10-20,B,269
2009-10-20,O,500
2009-10-21,A,278
2009-10-21,AB,57
2009-10-21,B,296
2009-10-21,O,538
2009-10-22,A,290
2009-10-22,AB,77
2009-10-22,B,311
2009-10-22,O,541
2009-10-23,A,269
2009-10-23,AB,68
2009-10-23,B,331
2009-10-23,O,580
2009-10-24,A,282
2009-10-24,AB,60
2009-10-24,B,284
2009-10-24,O,525
2009-10-25,A,282
2009-10-25,AB,67
2009-10-25,B,289
2009-10-25,O,562
2009-10-26,A,309
2009-10-26,AB,56
2009-10-26,B,313
2009-10-26,O,578
2009-10-27,A,331
2009-10-27,AB,82
2009-10-27,B,302
2009-10-27,O,597
2009-10-28,A,294
2009-10-28,AB,57
2009-10-28,B,292
2009-10-28,O,608
2009-10-29,A,290
2009-10-29,AB,73
2009-10-29,B,305
2009-10-29,O,605
2009-10-30,A,314
2009-10-30,AB,87
2009-10-30,B,336
2009-10-30,O,574
2009-10-31,A,263
2009-10-31,AB,65
2009-10-31,B,291
2009-10-31,O,528
2009-11-01,A,268
2009-11-01,AB,75
2009-11-01,B,298
2009-11-01,O,501
2009-11-02,A,295
2009-11-02,AB,83
2009-11-02,B,333
2009-11-02,O,571
2009-11-03,A,297
2009-11-03,AB,68
2009-11-03,B,347
2009-11-03,O,555
2009-11-04,A,310
2009-11-04,AB,58
2009-11-04,B,314
2009-11-04,O,569
2009-11-05,A,318
2009-11-05,AB,71
2009-11-05,B,285
2009-11-05,O,556
2009-11-06,A,284
2009-11-06,AB,75
2009-11-06,B,289
2009-11-06,O,542
2009-11-07,A,301
2009-11-07,AB,58
2009-11-07,B,269
2009-11-07,O,477
2009-11-08,A,299
2009-11-08,AB,66
2009-11-08,B,276
2009-11-08,O,518
2009-11-09,A,289
2009-11-09,AB,79
2009-11-09,B,283
2009-11-09,O,552
2009-11-10,A,295
2009-11-10,AB,65
2009-11-10,B,281
2009-11-10,O,539
2009-11-11,A,315
2009-11-11,AB,75
2009-11-11,B,271
2009-11-11,O,534
2009-11-12,A,291
2009-11-12,AB,63
2009-11-12,B,280
2009-11-12,O,545
2009-11-13,A,307
2009-11-13,AB,55
2009-11-13,B,621
2009-11-13,O,479
2009-11-14,A,276
2009-11-14,AB,62
2009-11-14,B,276
2009-11-14,O,445
2009-11-15,A,303
2009-11-15,AB,62
2009-11-15,B,266
2009-11-15,O,534
2009-11-16,A,321
2009-11-16,AB,70
2009-11-16,B,284
2009-11-16,O,522
2009-11-17,A,338
2009-11-17,AB,66
2009-11-17,B,303
2009-11-17,O,541
2009-11-18,A,309
2009-11-18,AB,72
2009-11-18,B,314
2009-11-18,O,533
2009-11-19,A,320
2009-11-19,AB,72
2009-11-19,B,295
2009-11-19,O,558
2009-11-20,A,279
2009-11-20,AB,74
2009-11-20,B,298
2009-11-20,O,539
2009-11-21,A,291
2009-11-21,AB,71
2009-11-21,B,268
2009-11-21,O,504
2009-11-22,A,289
2009-11-22,AB,69
2009-11-22,B,287
2009-11-22,O,542
2009-11-23,A,317
2009-11-23,AB,77
2009-11-23,B,346
2009-11-23,O,552
2009-11-24,A,312
2009-11-24,AB,84
2009-11-24,B,368
2009-11-24,O,556
2009-11-25,A,304
2009-11-25,AB,79
2009-11-25,B,333
2009-11-25,O,545
2009-11-26,A,323
2009-11-26,AB,98
2009-11-26,B,299
2009-11-26,O,597
2009-11-27,A,334
2009-11-27,AB,84
2009-11-27,B,319
2009-11-27,O,527
2009-11-28,A,249
2009-11-28,AB,64
2009-11-28,B,259
2009-11-28,O,486
2009-11-29,A,247
2009-11-29,AB,69
2009-11-29,B,288
2009-11-29,O,482
2009-11-30,A,290
2009-11-30,AB,56
2009-11-30,B,291
2009-11-30,O,543
2009-12-01,A,273
2009-12-01,AB,68
2009-12-01,B,295
2009-12-01,O,496
2009-12-02,A,299
2009-12-02,AB,85
2009-12-02,B,272
2009-12-02,O,531
2009-12-03,A,302
2009-12-03,AB,56
2009-12-03,B,253
2009-12-03,O,522
2009-12-04,A,269
2009-12-04,AB,58
2009-12-04,B,248
2009-12-04,O,519
2009-12-05,A,229
2009-12-05,AB,61
2009-12-05,B,274
2009-12-05,O,485
2009-12-06,A,257
2009-12-06,AB,55
2009-12-06,B,255
2009-12-06,O,493
2009-12-07,A,278
2009-12-07,AB,53
2009-12-07,B,288
2009-12-07,O,547
2009-12-08,A,278
2009-12-08,AB,62
2009-12-08,B,241
2009-12-08,O,491
2009-12-09,A,308
2009-12-09,AB,56
2009-12-09,B,308
2009-12-09,O,499
2009-12-10,A,278
2009-12-10,AB,57
2009-12-10,B,313
2009-12-10,O,467
2009-12-11,A,295
2009-12-11,AB,74
2009-12-11,B,289
2009-12-11,O,498
2009-12-12,A,249
2009-12-12,AB,50
2009-12-12,B,252
2009-12-12,O,454
2009-12-13,A,284
2009-12-13,AB,50
2009-12-13,B,283
2009-12-13,O,476
2009-12-14,A,263
2009-12-14,AB,53
2009-12-14,B,300
2009-12-14,O,480
2009-12-15,A,265
2009-12-15,AB,74
2009-12-15,B,280
2009-12-15,O,493
2009-12-16,A,296
2009-12-16,AB,72
2009-12-16,B,211
2009-12-16,O,478
2009-12-17,A,253
2009-12-17,AB,62
2009-12-17,B,232
2009-12-17,O,515
2009-12-18,A,248
2009-12-18,AB,54
2009-12-18,B,260
2009-12-18,O,445
2009-12-19,A,222
2009-12-19,AB,54
2009-12-19,B,223
2009-12-19,O,436
2009-12-20,A,223
2009-12-20,AB,51
2009-12-20,B,221
2009-12-20,O,384
2009-12-21,A,279
2009-12-21,AB,71
2009-12-21,B,240
2009-12-21,O,405
2009-12-22,A,239
2009-12-22,AB,49
2009-12-22,B,214
2009-12-22,O,366
2009-12-23,A,253
2009-12-23,AB,43
2009-12-23,B,241
2009-12-23,O,418
2009-12-24,A,219
2009-12-24,AB,62
2009-12-24,B,236
2009-12-24,O,402
2009-12-25,A,255
2009-12-25,AB,53
2009-12-25,B,210
2009-12-25,O,385
2009-12-26,A,211
2009-12-26,AB,41
2009-12-26,B,206
2009-12-26,O,350
2009-12-27,A,203
2009-12-27,AB,50
2009-12-27,B,210
2009-12-27,O,382
2009-12-28,A,228
2009-12-28,AB,55
2009-12-28,B,220
2009-12-28,O,446
2009-12-29,A,263
2009-12-29,AB,64
2009-12-29,B,232
2009-12-29,O,389
2009-12-30,A,240
2009-12-30,AB,58
2009-12-30,B,228
2009-12-30,O,418
2009-12-31,A,243
2009-12-31,AB,59
2009-12-31,B,248
2009-12-31,O,427
2010-01-01,A,253
2010-01-01,AB,44
2010-01-01,B,216
2010-01-01,O,380
2010-01-02,A,211
2010-01-02,AB,58
2010-01-02,B,203
2010-01-02,O,379
2010-01-03,A,203
2010-01-03,AB,49
2010-01-03,B,243
2010-01-03,O,389
2010-01-04,A,251
2010-01-04,AB,52
2010-01-04,B,181
2010-01-04,O,408
2010-01-05,A,222
2010-01-05,AB,46
2010-01-05,B,221
2010-01-05,O,404
2010-01-06,A,247
2010-01-06,AB,47
2010-01-06,B,204
2010-01-06,O,400
2010-01-07,A,225
2010-01-07,AB,43
2010-01-07,B,227
2010-01-07,O,419
2010-01-08,A,259
2010-01-08,AB,65
2010-01-08,B,244
2010-01-08,O,410
2010-01-09,A,240
2010-01-09,AB,46
2010-01-09,B,214
2010-01-09,O,385
2010-01-10,A,254
2010-01-10,AB,55
2010-01-10,B,222
2010-01-10,O,395
2010-01-11,A,297
2010-01-11,AB,76
2010-01-11,B,238
2010-01-11,O,421
2010-01-12,A,234
2010-01-12,AB,57
2010-01-12,B,257
2010-01-12,O,457
2010-01-13,A,236
2010-01-13,AB,78
2010-01-13,B,267
2010-01-13,O,428
2010-01-14,A,273
2010-01-14,AB,62
2010-01-14,B,257
2010-01-14,O,443
2010-01-15,A,283
2010-01-15,AB,58
2010-01-15,B,282
2010-01-15,O,435
2010-01-16,A,272
2010-01-16,AB,39
2010-01-16,B,213
2010-01-16,O,403
2010-01-17,A,251
2010-01-17,AB,41
2010-01-17,B,251
2010-01-17,O,381
2010-01-18,A,255
2010-01-18,AB,57
2010-01-18,B,249
2010-01-18,O,450
2010-01-19,A,252
2010-01-19,AB,58
2010-01-19,B,273
2010-01-19,O,407
2010-01-20,A,250
2010-01-20,AB,74
2010-01-20,B,273
2010-01-20,O,506
2010-01-21,A,286
2010-01-21,AB,75
2010-01-21,B,257
2010-01-21,O,482
2010-01-22,A,277
2010-01-22,AB,60
2010-01-22,B,259
2010-01-22,O,484
2010-01-23,A,270
2010-01-23,AB,78
2010-01-23,B,240
2010-01-23,O,452
2010-01-24,A,273
2010-01-24,AB,66
2010-01-24,B,240
2010-01-24,O,469
2010-01-25,A,295
2010-01-25,AB,67
2010-01-25,B,272
2010-01-25,O,499
2010-01-26,A,286
2010-01-26,AB,63
2010-01-26,B,310
2010-01-26,O,519
2010-01-27,A,292
2010-01-27,AB,70
2010-01-27,B,258
2010-01-27,O,480
2010-01-28,A,337
2010-01-28,AB,76
2010-01-28,B,270
2010-01-28,O,571
2010-01-29,A,346
2010-01-29,AB,78
2010-01-29,B,257
2010-01-29,O,502
2010-01-30,A,301
2010-01-30,AB,79
2010-01-30,B,266
2010-01-30,O,477
2010-01-31,A,266
2010-01-31,AB,74
2010-01-31,B,247
2010-01-31,O,467
2010-02-01,A,330
2010-02-01,AB,84
2010-02-01,B,295
2010-02-01,O,499
2010-02-02,A,365
2010-02-02,AB,77
2010-02-02,B,285
2010-02-02,O,572
2010-02-03,A,315
2010-02-03,AB,75
2010-02-03,B,308
2010-02-03,O,525
2010-02-04,A,339
2010-02-04,AB,101
2010-02-04,B,308
2010-02-04,O,557
2010-02-05,A,346
2010-02-05,AB,86
2010-02-05,B,331
2010-02-05,O,544
2010-02-06,A,301
2010-02-06,AB,81
2010-02-06,B,253
2010-02-06,O,464
2010-02-07,A,288
2010-02-07,AB,94
2010-02-07,B,285
2010-02-07,O,512
2010-02-08,A,298
2010-02-08,AB,65
2010-02-08,B,312
2010-02-08,O,517
2010-02-09,A,305
2010-02-09,AB,84
2010-02-09,B,295
2010-02-09,O,531
2010-02-10,A,338
2010-02-10,AB,84
2010-02-10,B,323
2010-02-10,O,497
2010-02-11,A,320
2010-02-11,AB,85
2010-02-11,B,294
2010-02-11,O,557
2010-02-12,A,290
2010-02-12,AB,80
2010-02-12,B,284
2010-02-12,O,481
2010-02-13,A,285
2010-02-13,AB,70
2010-02-13,B,266
2010-02-13,O,850
2010-02-14,A,287
2010-02-14,AB,61
2010-02-14,B,640
2010-02-14,O,438
2010-02-15,A,305
2010-02-15,AB,76
2010-02-15,B,271
2010-02-15,O,453
2010-02-16,A,276
2010-02-16,AB,75
2010-02-16,B,259
2010-02-16,O,460
2010-02-17,A,308
2010-02-17,AB,79
2010-02-17,B,278
2010-02-17,O,461
2010-02-18,A,286
2010-02-18,AB,73
2010-02-18,B,248
2010-02-18,O,471
2010-02-19,A,307
2010-02-19,AB,74
2010-02-19,B,269
2010-02-19,O,431
2010-02-20,A,240
2010-02-20,AB,62
2010-02-20,B,177
2010-02-20,O,343
2010-02-21,A,228
2010-02-21,AB,68
2010-02-21,B,195
2010-02-21,O,373
2010-02-22,A,225
2010-02-22,AB,64
2010-02-22,B,236
2010-02-22,O,426
2010-02-23,A,265
2010-02-23,AB,71
2010-02-23,B,198
2010-02-23,O,435
2010-02-24,A,275
2010-02-24,AB,59
2010-02-24,B,202
2010-02-24,O,407
2010-02-25,A,267
2010-02-25,AB,70
2010-02-25,B,264
2010-02-25,O,429
2010-02-26,A,249
2010-02-26,AB,63
2010-02-26,B,227
2010-02-26,O,416
2010-02-27,A,243
2010-02-27,AB,66
2010-02-27,B,217
2010-02-27,O,386
2010-02-28,A,256
2010-02-28,AB,62
2010-02-28,B,203
2010-02-28,O,421
2010-03-01,A,250
2010-03-01,AB,68
2010-03-01,B,207
2010-03-01,O,414
2010-03-02,A,287
2010-03-02,AB,56
2010-03-02,B,208
2010-03-02,O,427
2010-03-03,A,281
2010-03-03,AB,62
2010-03-03,B,231
2010-03-03,O,427
2010-03-04,A,274
2010-03-04,AB,67
2010-03-04,B,216
2010-03-04,O,451
2010-03-05,A,243
2010-03-05,AB,55
2010-03-05,B,221
2010-03-05,O,443
2010-03-06,A,228
2010-03-06,AB,62
2010-03-06,B,175
2010-03-06,O,363
2010-03-07,A,248
2010-03-07,AB,59
2010-03-07,B,385
2010-03-07,O,365
2010-03-08,A,247
2010-03-08,AB,74
2010-03-08,B,204
2010-03-08,O,399
2010-03-09,A,231
2010-03-09,AB,70
2010-03-09,B,215
2010-03-09,O,386
2010-03-10,A,276
2010-03-10,AB,76
2010-03-10,B,213
2010-03-10,O,421
2010-03-11,A,247
2010-03-11,AB,70
2010-03-11,B,221
2010-03-11,O,431
2010-03-12,A,253
2010-03-12,AB,54
2010-03-12,B,216
2010-03-12,O,417
2010-03-13,A,251
2010-03-13,AB,67
2010-03-13,B,186
2010-03-13,O,358
2010-03-14,A,268
2010-03-14,AB,59
2010-03-14,B,209
2010-03-14,O,355
2010-03-15,A,243
2010-03-15,AB,72
2010-03-15,B,211
2010-03-15,O,408
2010-03-16,A,269
2010-03-16,AB,71
2010-03-16,B,212
2010-03-16,O,442
2010-03-17,A,286
2010-03-17,AB,69
2010-03-17,B,232
2010-03-17,O,445
2010-03-18,A,263
2010-03-18,AB,63
2010-03-18,B,246
2010-03-18,O,428
2010-03-19,A,269
2010-03-19,AB,65
2010-03-19,B,240
2010-03-19,O,403
2010-03-20,A,238
2010-03-20,AB,61
2010-03-20,B,211
2010-03-20,O,348
2010-03-21,A,396
2010-03-21,AB,51
2010-03-21,B,183
2010-03-21,O,390
2010-03-22,A,269
2010-03-22,AB,81
2010-03-22,B,241
2010-03-22,O,442
2010-03-23,A,279
2010-03-23,AB,77
2010-03-23,B,260
2010-03-23,O,440
2010-03-24,A,290
2010-03-24,AB,77
2010-03-24,B,252
2010-03-24,O,403
2010-03-25,A,295
2010-03-25,AB,81
2010-03-25,B,239
2010-03-25,O,457
2010-03-26,A,218
2010-03-26,AB,71
2010-03-26,B,208
2010-03-26,O,437
2010-03-27,A,270
2010-03-27,AB,58
2010-03-27,B,189
2010-03-27,O,367
2010-03-28,A,257
2010-03-28,AB,71
2010-03-28,B,209
2010-03-28,O,435
2010-03-29,A,262
2010-03-29,AB,71
2010-03-29,B,220
2010-03-29,O,896
2010-03-30,A,257
2010-03-30,AB,75
2010-03-30,B,232
2010-03-30,O,467
2010-03-31,A,233
2010-03-31,AB,63
2010-03-31,B,230
2010-03-31,O,397
2010-04-01,A,285
2010-04-01,AB,69
2010-04-01,B,252
2010-04-01,O,438
2010-04-02,A,256
2010-04-02,AB,77
2010-04-02,B,257
2010-04-02,O,398
2010-04-03,A,239
2010-04-03,AB,61
2010-04-03,B,191
2010-04-03,O,366
2010-04-04,A,226
2010-04-04,AB,69
2010-04-04,B,226
2010-04-04,O,391
2010-04-05,A,265
2010-04-05,AB,94
2010-04-05,B,225
2010-04-05,O,371
2010-04-06,A,230
2010-04-06,AB,65
2010-04-06,B,232
2010-04-06,O,381
2010-04-07,A,682
2010-04-07,AB,64
2010-04-07,B,225
2010-04-07,O,396
2010-04-08,A,253
2010-04-08,AB,59
2010-04-08,B,208
2010-04-08,O,390
2010-04-09,A,237
2010-04-09,AB,87
2010-04-09,B,195
2010-04-09,O,382
2010-04-10,A,220
2010-04-10,AB,48
2010-04-10,B,194
2010-04-10,O,336
2010-04-11,A,213
2010-04-11,AB,46
2010-04-11,B,186
2010-04-11,O,326
2010-04-12,A,205
2010-04-12,AB,61
2010-04-12,B,222
2010-04-12,O,377
2010-04-13,A,197
2010-04-13,AB,63
2010-04-13,B,201
2010-04-13,O,372
2010-04-14,A,238
2010-04-14,AB,79
2010-04-14,B,221
2010-04-14,O,388
2010-04-15,A,224
2010-04-15,AB,71
2010-04-15,B,213
2010-04-15,O,395
2010-04-16,A,174
2010-04-16,AB,69
2010-04-16,B,203
2010-04-16,O,396
2010-04-17,A,195
2010-04-17,AB,65
2010-04-17,B,181
2010-04-17,O,375
2010-04-18,A,208
2010-04-18,AB,67
2010-04-18,B,151
2010-04-18,O,387
2010-04-19,A,216
2010-04-19,AB,58
2010-04-19,B,229
2010-04-19,O,405
2010-04-20,A,204
2010-04-20,AB,74
2010-04-20,B,215
2010-04-20,O,356
2010-04-21,A,237
2010-04-21,AB,72
2010-04-21,B,238
2010-04-21,O,388
2010-04-22,A,274
2010-04-22,AB,63
2010-04-22,B,223
2010-04-22,O,394
2010-04-23,A,228
2010-04-23,AB,68
2010-04-23,B,221
2010-04-23,O,407
2010-04-24,A,194
2010-04-24,AB,59
2010-04-24,B,187
2010-04-24,O,319
2010-04-25,A,208
2010-04-25,AB,70
2010-04-25,B,223
2010-04-25,O,349
2010-04-26,A,231
2010-04-26,AB,65
2010-04-26,B,192
2010-04-26,O,388
2010-04-27,A,219
2010-04-27,AB,60
2010-04-27,B,205
2010-04-27,O,343
2010-04-28,A,197
2010-04-28,AB,75
2010-04-28,B,226
2010-04-28,O,357
2010-04-29,A,205
2010-04-29,AB,68
2010-04-29,B,226
2010-04-29,O,387
2010-04-30,A,189
2010-04-30,AB,70
2010-04-30,B,204
2010-04-30,O,373
2010-05-01,A,198
2010-05-01,AB,70
2010-05-01,B,163
2010-05-01,O,357
2010-05-02,A,204
2010-05-02,AB,63
2010-05-02,B,214
2010-05-02,O,320
2010-05-03,A,226
2010-05-03,AB,74
2010-05-03,B,207
2010-05-03,O,372
2010-05-04,A,221
2010-05-04,AB,66
2010-05-04,B,228
2010-05-04,O,376
2010-05-05,A,214
2010-05-05,AB,61
2010-05-05,B,195
2010-05-05,O,372
2010-05-06,A,217
2010-05-06,AB,61
2010-05-06,B,230
2010-05-06,O,382
2010-05-07,A,216
2010-05-07,AB,58
2010-05-07,B,182
2010-05-07,O,416
2010-05-08,A,186
2010-05-08,AB,77
2010-05-08,B,180
2010-05-08,O,371
2010-05-09,A,196
2010-05-09,AB,62
2010-05-09,B,195
2010-05-09,O,367
2010-05-10,A,220
2010-05-10,AB,76
2010-05-10,B,213
2010-05-10,O,383
2010-05-11,A,228
2010-05-11,AB,65
2010-05-11,B,187
2010-05-11,O,347
2010-05-12,A,228
2010-05-12,AB,67
2010-05-12,B,193
2010-05-12,O,801
2010-05-13,A,226
2010-05-13,AB,58
2010-05-13,B,228
2010-05-13,O,385
2010-05-14,A,251
2010-05-14,AB,66
2010-05-14,B,226
2010-05-14,O,350
2010-05-15,A,219
2010-05-15,AB,72
2010-05-15,B,203
2010-05-15,O,297
2010-05-16,A,221
2010-05-16,AB,62
2010-05-16,B,166
2010-05-16,O,305
2010-05-17,A,221
2010-05-17,AB,59
2010-05-17,B,230
2010-05-17,O,333
2010-05-18,A,228
2010-05-18,AB,72
2010-05-18,B,222
2010-05-18,O,354
2010-05-19,A,221
2010-05-19,AB,62
2010-05-19,B,211
2010-05-19,O,339
2010-05-20,A,247
2010-05-20,AB,75
2010-05-20,B,236
2010-05-20,O,337
2010-05-21,A,220
2010-05-21,AB,62
2010-05-21,B,244
2010-05-21,O,348
2010-05-22,A,231
2010-05-22,AB,65
2010-05-22,B,198
2010-05-22,O,293
2010-05-23,A,204
2010-05-23,AB,70
2010-05-23,B,179
2010-05-23,O,327
2010-05-24,A,277
2010-05-24,AB,82
2010-05-24,B,219
2010-05-24,O,358
2010-05-25,A,237
2010-05-25,AB,89
2010-05-25,B,248
2010-05-25,O,385
2010-05-26,A,279
2010-05-26,AB,61
2010-05-26,B,248
2010-05-26,O,395
2010-05-27,A,219
2010-05-27,AB,62
2010-05-27,B,244
2010-05-27,O,355
2010-05-28,A,294
2010-05-28,AB,61
2010-05-28,B,236
2010-05-28,O,376
2010-05-29,A,281
2010-05-29,AB,86
2010-05-29,B,244
2010-05-29,O,355
2010-05-30,A,258
2010-05-30,AB,57
2010-05-30,B,253
2010-05-30,O,407
2010-05-31,A,267
2010-05-31,AB,67
2010-05-31,B,270
2010-05-31,O,413
2010-06-01,A,244
2010-06-01,AB,66
2010-06-01,B,257
2010-06-01,O,369
2010-06-02,A,259
2010-06-02,AB,75
2010-06-02,B,263
2010-06-02,O,381
2010-06-03,A,247
2010-06-03,AB,84
2010-06-03,B,298
2010-06-03,O,377
2010-06-04,A,264
2010-06-04,AB,71
2010-06-04,B,255
2010-06-04,O,392
2010-06-05,A,210
2010-06-05,AB,57
2010-06-05,B,227
2010-06-05,O,361
2010-06-06,A,252
2010-06-06,AB,63
2010-06-06,B,243
2010-06-06,O,369
2010-06-07,A,263
2010-06-07,AB,67
2010-06-07,B,222
2010-06-07,O,394
2010-06-08,A,258
2010-06-08,AB,62
2010-06-08,B,232
2010-06-08,O,409
2010-06-09,A,256
2010-06-09,AB,68
2010-06-09,B,222
2010-06-09,O,430
2010-06-10,A,286
2010-06-10,AB,57
2010-06-10,B,247
2010-06-10,O,429
2010-06-11,A,277
2010-06-11,AB,69
2010-06-11,B,242
2010-06-11,O,396
2010-06-12,A,225
2010-06-12,AB,57
2010-06-12,B,196
2010-06-12,O,394
2010-06-13,A,239
2010-06-13,AB,68
2010-06-13,B,216
2010-06-13,O,385
2010-06-14,A,257
2010-06-14,AB,78
2010-06-14,B,275
2010-06-14,O,436
2010-06-15,A,249
2010-06-15,AB,81
2010-06-15,B,265
2010-06-15,O,393
2010-06-16,A,295
2010-06-16,AB,68
2010-06-16,B,259
2010-06-16,O,426
2010-06-17,A,293
2010-06-17,AB,76
2010-06-17,B,233
2010-06-17,O,416
2010-06-18,A,259
2010-06-18,AB,76
2010-06-18,B,289
2010-06-18,O,396
2010-06-19,A,227
2010-06-19,AB,72
2010-06-19,B,226
2010-06-19,O,380
2010-06-20,A,268
2010-06-20,AB,61
2010-06-20,B,228
2010-06-20,O,390
2010-06-21,A,283
2010-06-21,AB,70
2010-06-21,B,264
2010-06-21,O,410
2010-06-22,A,245
2010-06-22,AB,60
2010-06-22,B,233
2010-06-22,O,400
2010-06-23,A,261
2010-06-23,AB,173
2010-06-23,B,225
2010-06-23,O,369
2010-06-24,A,255
2010-06-24,AB,60
2010-06-24,B,198
2010-06-24,O,380
2010-06-25,A,247
2010-06-25,AB,62
2010-06-25,B,217
2010-06-25,O,376
2010-06-26,A,235
2010-06-26,AB,61
2010-06-26,B,198
2010-06-26,O,343
2010-06-27,A,222
2010-06-27,AB,44
2010-06-27,B,178
2010-06-27,O,315
2010-06-28,A,223
2010-06-28,AB,51
2010-06-28,B,206
2010-06-28,O,360
2010-06-29,A,224
2010-06-29,AB,62
2010-06-29,B,192
2010-06-29,O,376
2010-06-30,A,235
2010-06-30,AB,50
2010-06-30,B,184
2010-06-30,O,335
2010-07-01,A,244
2010-07-01,AB,63
2010-07-01,B,198
