date,blood_group,opening_inventory,units_received,units_issued,units_discarded,closing_inventory
2007-06-05,O,1864,267,245,16,1870
2007-06-06,A,1073,172,148,8,1089
2007-06-06,AB,264,49,39,2,272
2007-06-06,B,1534,184,151,8,1559
2007-06-06,O,1870,348,242,12,1964
2007-06-07,A,1089,266,179,4,1172
2007-06-07,AB,272,75,35,3,309
2007-06-07,B,1559,267,152,4,1670
2007-06-07,O,1964,443,241,12,2154
2007-06-08,A,1172,193,153,11,1201
2007-06-08,AB,309,49,38,1,319
2007-06-08,B,1670,230,185,9,1706
2007-06-08,O,2154,318,250,12,2210
2007-06-09,A,1201,153,147,5,1202
2007-06-09,AB,319,44,30,3,330
2007-06-09,B,1706,182,143,10,1735
2007-06-09,O,2210,243,208,11,2234
2007-06-10,A,1202,384,133,7,1446
2007-06-10,AB,330,99,43,2,384
2007-06-10,B,1735,401,174,10,1952
2007-06-10,O,2234,593,211,16,2600
2007-06-11,A,1446,135,163,7,1411
2007-06-11,AB,384,38,41,0,381
2007-06-11,B,1952,156,191,12,1905
2007-06-11,O,2600,229,250,13,2566
2007-06-12,A,1411,133,162,8,1374
2007-06-12,AB,381,41,41,1,380
2007-06-12,B,1905,170,173,12,1890
2007-06-12,O,2566,231,266,16,2515
2007-06-13,A,1374,219,159,16,1418
2007-06-13,AB,380,66,52,2,392
2007-06-13,B,1890,251,153,9,1979
2007-06-13,O,2515,343,255,13,2590
2007-06-14,A,1418,140,157,8,1393
2007-06-14,AB,392,31,48,1,374
2007-06-14,B,1979,172,191,11,1949
2007-06-14,O,2590,229,235,18,2566
2007-06-15,A,1393,139,153,8,1371
2007-06-15,AB,374,47,49,0,372
2007-06-15,B,1949,162,157,15,1939
2007-06-15,O,2566,262,231,12,2585
2007-06-16,A,1371,150,145,10,1366
2007-06-16,AB,372,35,28,6,373
2007-06-16,B,1939,168,147,16,1944
2007-06-16,O,2585,261,239,16,2591
2007-06-17,A,1366,339,153,3,1549
2007-06-17,AB,373,86,43,2,414
2007-06-17,B,1944,327,163,16,2092
2007-06-17,O,2591,555,208,18,2920
2007-06-18,A,1549,113,162,9,1491
2007-06-18,AB,414,40,32,4,418
2007-06-18,B,2092,141,184,17,2032
2007-06-18,O,2920,189,249,19,2841
2007-06-19,A,1491,98,133,6,1450
2007-06-19,AB,418,19,37,0,400
2007-06-19,B,2032,122,185,14,1955
2007-06-19,O,2841,182,225,20,2778
2007-06-20,A,1450,204,125,13,1516
2007-06-20,AB,400,48,41,6,401
2007-06-20,B,1955,243,216,12,1970
2007-06-20,O,2778,305,262,17,2804
2007-06-21,A,1516,184,150,7,1543
2007-06-21,AB,401,44,38,1,406
2007-06-21,B,1970,178,159,13,1976
2007-06-21,O,2804,321,258,20,2847
2007-06-22,A,1543,137,129,13,1538
2007-06-22,AB,406,61,35,4,428
2007-06-22,B,1976,155,172,16,1943
2007-06-22,O,2847,226,231,22,2820
2007-06-23,A,1538,183,128,10,1583
2007-06-23,AB,428,49,31,0,446
2007-06-23,B,1943,166,162,12,1935
2007-06-23,O,2820,297,228,16,2873
2007-06-24,A,1583,240,140,11,1672
2007-06-24,AB,446,58,44,4,456
2007-06-24,B,1935,287,195,17,2010
2007-06-24,O,2873,433,262,19,3025
2007-06-25,A,1672,92,146,4,1614
2007-06-25,AB,456,29,37,3,445
2007-06-25,B,2010,106,186,13,1917
2007-06-25,O,3025,179,244,13,2947
2007-06-26,A,1614,137,145,8,1598
2007-06-26,AB,445,40,39,4,442
2007-06-26,B,1917,181,178,11,1909
2007-06-26,O,2947,240,225,10,2952
2007-06-27,A,1598,150,131,8,1609
2007-06-27,AB,442,46,34,4,450
2007-06-27,B,1909,181,169,11,1910
2007-06-27,O,2952,271,257,17,2949
2007-06-28,A,1609,140,123,13,1613
2007-06-28,AB,450,36,32,3,451
2007-06-28,B,1910,165,160,7,1908
2007-06-28,O,2949,236,251,19,2915
2007-06-29,A,1613,110,143,10,1570
2007-06-29,AB,451,30,34,1,446
2007-06-29,B,1908,105,204,11,1798
2007-06-29,O,2915,153,305,13,2750
2007-06-30,A,1570,80,132,10,1508
2007-06-30,AB,446,23,41,4,424
2007-06-30,B,1798,92,144,14,1732
2007-06-30,O,2750,141,258,21,2612
2007-07-01,A,1508,219,118,7,1602
2007-07-01,AB,424,51,106,5,364
2007-07-01,B,1732,252,185,7,1792
2007-07-01,O,2612,363,261,11,2703
2007-07-02,A,1602,122,157,5,1562
2007-07-02,AB,364,39,49,1,353
2007-07-02,B,1792,148,198,12,1730
2007-07-02,O,2703,190,274,16,2603
2007-07-03,A,1562,116,148,8,1522
2007-07-03,AB,353,23,46,3,327
2007-07-03,B,1730,119,180,6,1663
2007-07-03,O,2603,204,279,18,2510
2007-07-04,A,1522,231,162,8,1583
2007-07-04,AB,327,58,44,5,336
2007-07-04,B,1663,235,205,16,1677
2007-07-04,O,2510,345,303,13,2539
2007-07-05,A,1583,174,148,10,1599
2007-07-05,AB,336,56,46,3,343
2007-07-05,B,1677,184,226,9,1626
2007-07-05,O,2539,297,269,19,2548
2007-07-06,A,1599,320,165,12,1742
2007-07-06,AB,343,73,47,2,367
2007-07-06,B,1626,340,209,11,1746
2007-07-06,O,2548,492,298,16,2726
2007-07-07,A,1742,333,138,12,1925
2007-07-07,AB,367,84,35,3,413
2007-07-07,B,1746,355,168,8,1925
2007-07-07,O,2726,539,267,15,2983
2007-07-08,A,1925,290,144,11,2060
2007-07-08,AB,413,69,37,0,445
2007-07-08,B,1925,363,180,13,2095
2007-07-08,O,2983,535,311,18,3189
2007-07-09,A,2060,126,127,16,2043
2007-07-09,AB,445,26,39,2,430
2007-07-09,B,2095,159,199,16,2039
2007-07-09,O,3189,227,306,20,3090
2007-07-10,A,2043,314,166,13,2178
2007-07-10,AB,430,68,38,2,458
2007-07-10,B,2039,298,195,17,2125
2007-07-10,O,3090,455,311,19,3215
2007-07-11,A,2178,332,169,15,2326
2007-07-11,AB,458,92,55,5,490
2007-07-11,B,2125,344,237,15,2217
2007-07-11,O,3215,564,310,29,3440
2007-07-12,A,2326,327,175,20,2458
2007-07-12,AB,490,101,45,5,541
2007-07-12,B,2217,383,223,21,2356
2007-07-12,O,3440,563,314,30,3659
2007-07-13,A,2458,283,160,25,2556
2007-07-13,AB,541,67,48,3,557
2007-07-13,B,2356,287,191,24,2428
2007-07-13,O,3659,527,316,33,3837
2007-07-14,A,2556,161,170,24,2523
2007-07-14,AB,557,37,36,7,551
2007-07-14,B,2428,161,207,15,2367
2007-07-14,O,3837,248,295,26,3764
2007-07-15,A,2523,223,155,25,2566
2007-07-15,AB,551,51,37,4,561
2007-07-15,B,2367,240,190,23,2394
2007-07-15,O,3764,376,294,29,3817
2007-07-16,A,2566,98,155,21,2488
2007-07-16,AB,561,35,43,5,548
2007-07-16,B,2394,128,216,16,2290
2007-07-16,O,3817,202,326,26,3667
2007-07-17,A,2488,344,178,34,2620
2007-07-17,AB,548,90,38,5,595
2007-07-17,B,2290,369,226,23,2410
2007-07-17,O,3667,513,315,27,3838
2007-07-18,A,2620,194,202,27,2585
2007-07-18,AB,595,55,43,2,605
2007-07-18,B,2410,209,230,18,2371
2007-07-18,O,3838,343,317,37,3827
2007-07-19,A,2585,223,186,28,2594
2007-07-19,AB,605,51,50,5,601
2007-07-19,B,2371,278,230,16,2403
2007-07-19,O,3827,392,350,31,3838
2007-07-20,A,2594,163,182,34,2541
2007-07-20,AB,601,55,55,5,596
2007-07-20,B,2403,182,268,23,2294
2007-07-20,O,3838,279,390,31,3696
2007-07-21,A,2541,224,154,22,2589
2007-07-21,AB,596,67,53,7,603
2007-07-21,B,2294,247,195,22,2324
2007-07-21,O,3696,382,296,38,3744
2007-07-22,A,2589,216,169,28,2608
2007-07-22,AB,603,59,42,13,607
2007-07-22,B,2324,258,206,15,2361
2007-07-22,O,3744,375,318,35,3766
2007-07-23,A,2608,151,188,24,2547
2007-07-23,AB,607,48,59,5,591
2007-07-23,B,2361,181,226,19,2297
2007-07-23,O,3766,285,402,23,3626
2007-07-24,A,2547,306,187,26,2640
2007-07-24,AB,591,73,59,7,598
2007-07-24,B,2297,331,238,19,2371
2007-07-24,O,3626,497,981,18,3124
2007-07-25,A,2640,196,167,26,2643
2007-07-25,AB,598,55,56,9,588
2007-07-25,B,2371,226,226,19,2352
2007-07-25,O,3124,354,377,22,3079
2007-07-26,A,2643,330,188,28,2757
2007-07-26,AB,588,87,58,5,612
2007-07-26,B,2352,321,262,18,2393
2007-07-26,O,3079,496,362,18,3195
2007-07-27,A,2757,158,212,31,2672
2007-07-27,AB,612,37,63,5,581
2007-07-27,B,2393,206,227,18,2354
2007-07-27,O,3195,256,403,19,3029
2007-07-28,A,2672,315,179,35,2773
2007-07-28,AB,581,85,62,4,600
2007-07-28,B,2354,374,234,19,2475
2007-07-28,O,3029,547,371,22,3183
2007-07-29,A,2773,164,169,25,2743
2007-07-29,AB,600,37,58,4,575
2007-07-29,B,2475,203,242,18,2418
2007-07-29,O,3183,245,399,16,3013
2007-07-30,A,2743,128,200,36,2635
2007-07-30,AB,575,30,49,4,552
2007-07-30,B,2418,138,228,16,2312
2007-07-30,O,3013,203,430,16,2770
2007-07-31,A,2635,161,225,23,2548
2007-07-31,AB,552,57,57,7,545
2007-07-31,B,2312,236,257,22,2269
2007-07-31,O,2770,313,428,18,2637
2007-08-01,A,2548,254,180,26,2596
2007-08-01,AB,545,71,52,6,558
2007-08-01,B,2269,267,285,15,2236
2007-08-01,O,2637,395,373,13,2646
2007-08-02,A,2596,204,229,26,2545
2007-08-02,AB,558,54,56,3,553
2007-08-02,B,2236,214,262,13,2175
2007-08-02,O,2646,300,405,14,2527
2007-08-03,A,2545,115,243,20,2397
2007-08-03,AB,553,32,53,3,529
2007-08-03,B,2175,121,290,5,2001
2007-08-03,O,2527,191,380,11,2327
2007-08-04,A,2397,245,201,23,2418
2007-08-04,AB,529,51,37,6,537
2007-08-04,B,2001,279,279,10,1991
2007-08-04,O,2327,429,355,20,2381
2007-08-05,A,2418,321,219,14,2506
2007-08-05,AB,537,88,43,2,580
2007-08-05,B,1991,300,276,6,2009
2007-08-05,O,2381,454,386,14,2435
2007-08-06,A,2506,114,227,19,2374
2007-08-06,AB,580,23,66,2,535
2007-08-06,B,2009,130,266,15,1858
2007-08-06,O,2435,207,379,16,2247
2007-08-07,A,2374,268,213,25,2404
2007-08-07,AB,535,69,61,7,536
2007-08-07,B,1858,307,246,15,1904
2007-08-07,O,2247,453,362,10,2328
2007-08-08,A,2404,187,213,22,2356
2007-08-08,AB,536,52,47,4,537
2007-08-08,B,1904,209,281,17,1815
2007-08-08,O,2328,298,405,13,2208
2007-08-09,A,2356,197,247,16,2290
2007-08-09,AB,537,58,48,6,541
2007-08-09,B,1815,234,287,14,1748
2007-08-09,O,2208,328,400,10,2126
2007-08-10,A,2290,118,226,14,2168
2007-08-10,AB,541,42,64,7,512
2007-08-10,B,1748,139,276,6,1605
2007-08-10,O,2126,201,352,7,1968
2007-08-11,A,2168,175,189,15,2139
2007-08-11,AB,512,53,44,6,515
2007-08-11,B,1605,209,220,8,1586
2007-08-11,O,1968,311,342,11,1926
2007-08-12,A,2139,321,230,16,2214
2007-08-12,AB,515,78,51,2,540
2007-08-12,B,1586,286,255,7,1610
2007-08-12,O,1926,510,315,11,2110
2007-08-13,A,2214,105,218,14,2087
2007-08-13,AB,540,31,58,4,509
2007-08-13,B,1610,128,265,7,1466
2007-08-13,O,2110,209,388,9,1922
2007-08-14,A,2087,159,206,20,2020
2007-08-14,AB,509,54,41,6,516
2007-08-14,B,1466,187,266,9,1378
2007-08-14,O,1922,276,340,12,1846
2007-08-15,A,2020,270,214,10,2066
2007-08-15,AB,516,68,43,6,535
2007-08-15,B,1378,308,281,13,1392
2007-08-15,O,1846,436,344,14,1924
2007-08-16,A,2066,244,229,16,2065
2007-08-16,AB,535,80,59,6,550
2007-08-16,B,1392,322,246,9,1459
2007-08-16,O,1924,451,352,10,2013
2007-08-17,A,2065,175,199,13,2028
2007-08-17,AB,550,51,56,1,544
2007-08-17,B,1459,174,244,13,1376
2007-08-17,O,2013,323,346,11,1979
2007-08-18,A,2028,213,204,20,2017
2007-08-18,AB,544,64,51,4,553
2007-08-18,B,1376,274,237,6,1407
2007-08-18,O,1979,378,325,12,2020
2007-08-19,A,2017,276,219,17,2057
2007-08-19,AB,553,56,51,4,554
2007-08-19,B,1407,266,236,7,1430
2007-08-19,O,2020,443,335,12,2116
2007-08-20,A,2057,130,216,13,1958
2007-08-20,AB,554,42,54,7,535
2007-08-20,B,1430,137,270,7,1290
2007-08-20,O,2116,211,350,15,1962
2007-08-21,A,1958,360,212,10,2096
2007-08-21,AB,535,105,59,9,572
2007-08-21,B,1290,379,245,7,1417
2007-08-21,O,1962,568,385,15,2130
2007-08-22,A,2096,298,239,16,2139
2007-08-22,AB,572,69,53,4,584
2007-08-22,B,1417,346,249,12,1502
2007-08-22,O,2130,567,364,13,2320
2007-08-23,A,2139,294,222,20,2191
2007-08-23,AB,584,63,42,9,596
2007-08-23,B,1502,270,264,7,1501
2007-08-23,O,2320,355,366,15,2294
2007-08-24,A,2191,134,233,14,2078
2007-08-24,AB,596,51,56,5,586
2007-08-24,B,1501,175,265,11,1400
2007-08-24,O,2294,222,367,13,2136
2007-08-25,A,2078,160,212,17,2009
2007-08-25,AB,586,48,59,3,572
2007-08-25,B,1400,207,197,5,1405
2007-08-25,O,2136,274,355,15,2040
2007-08-26,A,2009,340,217,19,2113
2007-08-26,AB,572,93,43,5,617
2007-08-26,B,1405,353,236,10,1512
2007-08-26,O,2040,564,333,6,2265
2007-08-27,A,2113,78,209,12,1970
2007-08-27,AB,617,26,65,5,573
2007-08-27,B,1512,88,241,6,1353
2007-08-27,O,2265,177,337,15,2090
2007-08-28,A,1970,253,218,21,1984
2007-08-28,AB,573,69,60,3,579
2007-08-28,B,1353,294,198,10,1439
2007-08-28,O,2090,390,359,12,2109
2007-08-29,A,1984,271,218,16,2021
2007-08-29,AB,579,76,60,6,589
2007-08-29,B,1439,290,265,5,1459
2007-08-29,O,2109,496,402,15,2188
2007-08-30,A,2021,161,248,13,1921
2007-08-30,AB,589,47,67,5,564
2007-08-30,B,1459,163,246,8,1368
2007-08-30,O,2188,220,379,7,2022
2007-08-31,A,1921,202,233,12,1878
2007-08-31,AB,564,48,68,3,541
2007-08-31,B,1368,219,246,8,1333
2007-08-31,O,2022,292,356,9,1949
2007-09-01,A,1878,104,178,8,1796
2007-09-01,AB,541,12,59,1,493
2007-09-01,B,1333,103,241,3,1192
2007-09-01,O,1949,157,326,10,1770
2007-09-02,A,1796,292,223,7,1858
2007-09-02,AB,493,79,65,6,501
2007-09-02,B,1192,284,240,13,1223
2007-09-02,O,1770,507,372,10,1895
2007-09-03,A,1858,137,246,10,1739
2007-09-03,AB,501,45,78,3,465
2007-09-03,B,1223,140,273,8,1082
2007-09-03,O,1895,201,376,15,1705
2007-09-04,A,1739,294,247,14,1772
2007-09-04,AB,465,80,56,2,487
2007-09-04,B,1082,359,274,6,1161
2007-09-04,O,1705,513,378,9,1831
2007-09-05,A,1772,287,248,15,1796
2007-09-05,AB,487,72,70,2,487
2007-09-05,B,1161,295,307,8,1141
2007-09-05,O,1831,421,438,13,1801
2007-09-06,A,1796,272,228,14,1826
2007-09-06,AB,487,88,69,0,506
2007-09-06,B,1141,311,268,9,1175
2007-09-06,O,1801,488,384,14,1891
2007-09-07,A,1826,283,222,10,1877
2007-09-07,AB,506,65,68,3,500
2007-09-07,B,1175,320,284,10,1201
2007-09-07,O,1891,433,411,10,1903
2007-09-08,A,1877,389,239,16,2011
2007-09-08,AB,500,115,77,8,530
2007-09-08,B,1201,493,270,11,1413
2007-09-08,O,1903,686,378,14,2197
2007-09-09,A,2011,416,291,17,2119
2007-09-09,AB,530,94,63,4,557
2007-09-09,B,1413,419,278,11,1543
2007-09-09,O,2197,652,418,13,2418
2007-09-10,A,2119,299,222,19,2177
2007-09-10,AB,557,80,70,4,563
2007-09-10,B,1543,311,292,8,1554
2007-09-10,O,2418,491,448,21,2440
2007-09-11,A,2177,360,245,24,2268
2007-09-11,AB,563,96,68,2,589
2007-09-11,B,1554,404,350,4,1604
2007-09-11,O,2440,577,464,13,2540
2007-09-12,A,2268,248,264,17,2235
2007-09-12,AB,589,60,66,7,576
2007-09-12,B,1604,242,287,8,1551
2007-09-12,O,2540,383,435,14,2474
2007-09-13,A,2235,39,257,17,2000
2007-09-13,AB,576,10,80,2,504
2007-09-13,B,1551,37,330,4,1254
2007-09-13,O,2474,66,443,13,2084
2007-09-14,A,2000,44,272,19,1753
2007-09-14,AB,504,23,87,2,438
2007-09-14,B,1254,38,317,7,968
2007-09-14,O,2084,57,421,14,1706
2007-09-15,A,1753,76,236,12,1581
2007-09-15,AB,438,13,52,3,396
2007-09-15,B,968,66,299,3,732
2007-09-15,O,1706,114,399,5,1416
2007-09-16,A,1581,293,260,6,1608
2007-09-16,AB,396,56,50,2,400
2007-09-16,B,732,284,260,6,750
2007-09-16,O,1416,462,372,11,1495
2007-09-17,A,1608,44,280,5,1367
2007-09-17,AB,400,12,58,1,353
2007-09-17,B,750,63,254,3,556
2007-09-17,O,1495,77,410,9,1153
2007-09-18,A,1367,73,252,10,1178
2007-09-18,AB,353,24,80,0,297
2007-09-18,B,556,75,269,3,359
2007-09-18,O,1153,131,403,5,876
2007-09-19,A,1178,99,273,7,997
2007-09-19,AB,297,17,68,1,245
2007-09-19,B,359,98,268,1,188
2007-09-19,O,876,185,428,1,632
2007-09-20,A,997,86,250,9,824
2007-09-20,AB,245,15,62,2,196
2007-09-20,B,188,107,237,0,58
2007-09-20,O,632,155,394,2,391
2007-09-21,A,824,87,230,2,679
2007-09-21,AB,196,19,86,0,129
2007-09-21,B,58,83,141,0,0
2007-09-21,O,391,159,344,0,206
2007-09-22,A,679,67,234,3,509
2007-09-22,AB,129,14,40,1,102
2007-09-22,B,0,55,55,0,0
2007-09-22,O,206,104,310,0,0
2007-09-23,A,509,383,224,3,665
2007-09-23,AB,102,67,59,1,109
2007-09-23,B,0,376,219,0,157
2007-09-23,O,0,621,360,2,259
2007-09-24,A,665,70,240,3,492
2007-09-24,AB,109,24,64,0,69
2007-09-24,B,157,80,222,0,15
2007-09-24,O,259,125,371,0,13
2007-09-25,A,492,68,242,1,317
2007-09-25,AB,69,14,62,0,21
2007-09-25,B,15,75,90,0,0
2007-09-25,O,13,131,144,0,0
2007-09-26,A,317,129,230,0,216
2007-09-26,AB,21,34,51,0,4
2007-09-26,B,0,161,161,0,0
2007-09-26,O,0,222,222,0,0
2007-09-27,A,216,144,241,1,118
2007-09-27,AB,4,60,61,0,3
2007-09-27,B,0,193,193,0,0
2007-09-27,O,0,286,286,0,0
2007-09-28,A,118,171,251,0,38
2007-09-28,AB,3,37,40,0,0
2007-09-28,B,0,157,157,0,0
2007-09-28,O,0,233,233,0,0
2007-09-29,A,38,42,80,0,0
2007-09-29,AB,0,23,23,0,0
2007-09-29,B,0,39,39,0,0
2007-09-29,O,0,83,83,0,0
2007-09-30,A,0,381,220,0,161
2007-09-30,AB,0,79,69,0,10
2007-09-30,B,0,357,260,1,96
2007-09-30,O,0,609,353,3,253
2007-10-01,A,161,54,215,0,0
2007-10-01,AB,10,18,28,0,0
2007-10-01,B,96,60,156,0,0
2007-10-01,O,253,117,366,0,4
2007-10-02,A,0,91,91,0,0
2007-10-02,AB,0,24,24,0,0
2007-10-02,B,0,99,99,0,0
2007-10-02,O,4,148,152,0,0
2007-10-03,A,0,87,87,0,0
2007-10-03,AB,0,27,27,0,0
2007-10-03,B,0,104,104,0,0
2007-10-03,O,0,132,132,0,0
2007-10-04,A,0,125,125,0,0
2007-10-04,AB,0,39,39,0,0
2007-10-04,B,0,153,153,0,0
2007-10-04,O,0,220,220,0,0
2007-10-05,A,0,148,148,0,0
2007-10-05,AB,0,43,43,0,0
2007-10-05,B,0,181,181,0,0
2007-10-05,O,0,306,306,0,0
2007-10-06,A,0,113,113,0,0
2007-10-06,AB,0,33,33,0,0
2007-10-06,B,0,140,140,0,0
2007-10-06,O,0,214,214,0,0
2007-10-07,A,0,298,197,1,100
2007-10-07,AB,0,80,40,0,40
2007-10-07,B,0,313,189,0,124
2007-10-07,O,0,528,265,2,261
2007-10-08,A,100,139,194,0,45
2007-10-08,AB,40,33,49,0,24
2007-10-08,B,124,177,205,0,96
2007-10-08,O,261,265,275,4,247
2007-10-09,A,45,165,158,0,52
2007-10-09,AB,24,44,44,1,23
2007-10-09,B,96,160,180,0,76
2007-10-09,O,247,278,264,0,261
2007-10-10,A,52,127,166,0,13
2007-10-10,AB,23,22,43,0,2
2007-10-10,B,76,148,174,1,49
2007-10-10,O,261,236,250,1,246
2007-10-11,A,13,143,156,0,0
2007-10-11,AB,2,34,36,0,0
2007-10-11,B,49,149,174,2,22
2007-10-11,O,246,236,245,2,235
2007-10-12,A,0,40,40,0,0
2007-10-12,AB,0,10,10,0,0
2007-10-12,B,22,50,72,0,0
2007-10-12,O,235,78,260,0,53
2007-10-13,A,0,16,16,0,0
2007-10-13,AB,0,3,3,0,0
2007-10-13,B,0,10,10,0,0
2007-10-13,O,53,12,65,0,0
2007-10-14,A,0,24,24,0,0
2007-10-14,AB,0,9,9,0,0
2007-10-14,B,0,19,19,0,0
2007-10-14,O,0,48,48,0,0
2007-10-15,A,0,43,43,0,0
2007-10-15,AB,0,3,3,0,0
2007-10-15,B,0,35,35,0,0
2007-10-15,O,0,72,72,0,0
2007-10-16,A,0,79,79,0,0
2007-10-16,AB,0,19,19,0,0
2007-10-16,B,0,90,90,0,0
2007-10-16,O,0,112,112,0,0
2007-10-17,A,0,101,101,0,0
2007-10-17,AB,0,23,23,0,0
2007-10-17,B,0,111,111,0,0
2007-10-17,O,0,199,199,0,0
2007-10-18,A,0,152,152,0,0
2007-10-18,AB,0,33,33,0,0
2007-10-18,B,0,162,144,0,18
2007-10-18,O,0,228,228,0,0
2007-10-19,A,0,81,81,0,0
2007-10-19,AB,0,26,26,0,0
2007-10-19,B,18,118,134,0,2
2007-10-19,O,0,147,147,0,0
2007-10-20,A,0,121,121,0,0
2007-10-20,AB,0,29,29,0,0
2007-10-20,B,2,151,141,0,12
2007-10-20,O,0,273,210,0,63
2007-10-21,A,0,330,139,1,190
2007-10-21,AB,0,92,36,2,54
2007-10-21,B,12,305,150,2,165
2007-10-21,O,63,537,218,2,380
2007-10-22,A,190,106,177,1,118
2007-10-22,AB,54,35,43,1,45
2007-10-22,B,165,157,186,1,135
2007-10-22,O,380,253,247,0,386
2007-10-23,A,118,243,174,3,184
2007-10-23,AB,45,52,38,0,59
2007-10-23,B,135,238,170,0,203
2007-10-23,O,386,387,209,3,561
2007-10-24,A,184,288,166,3,303
2007-10-24,AB,59,75,36,0,98
2007-10-24,B,203,301,195,1,308
2007-10-24,O,561,403,264,5,695
2007-10-25,A,303,398,198,2,501
2007-10-25,AB,98,97,95,0,100
2007-10-25,B,308,427,188,4,543
2007-10-25,O,695,648,269,6,1068
2007-10-26,A,501,196,179,3,515
2007-10-26,AB,100,40,22,1,117
2007-10-26,B,543,218,175,7,579
2007-10-26,O,1068,300,284,9,1075
2007-10-27,A,515,193,186,7,515
2007-10-27,AB,117,47,43,1,120
2007-10-27,B,579,235,157,5,652
2007-10-27,O,1075,338,241,7,1165
2007-10-28,A,515,508,164,3,856
2007-10-28,AB,120,140,50,1,209
2007-10-28,B,652,488,186,7,947
2007-10-28,O,1165,757,277,15,1630
2007-10-29,A,856,148,202,7,795
2007-10-29,AB,209,37,46,1,199
2007-10-29,B,947,156,215,5,883
2007-10-29,O,1630,251,282,12,1587
2007-10-30,A,795,218,208,7,798
2007-10-30,AB,199,59,41,1,216
2007-10-30,B,883,256,191,8,940
2007-10-30,O,1587,398,298,12,1675
2007-10-31,A,798,162,205,3,752
2007-10-31,AB,216,48,39,0,225
2007-10-31,B,940,166,178,13,915
2007-10-31,O,1675,251,295,12,1619
2007-11-01,A,752,172,210,2,712
2007-11-01,AB,225,32,45,1,211
2007-11-01,B,915,130,210,8,827
2007-11-01,O,1619,261,311,4,1565
2007-11-02,A,712,208,226,5,689
2007-11-02,AB,211,62,40,1,232
2007-11-02,B,827,224,206,3,842
2007-11-02,O,1565,323,336,6,1546
2007-11-03,A,689,111,222,1,577
2007-11-03,AB,232,41,49,1,223
2007-11-03,B,842,136,184,4,790
2007-11-03,O,1546,215,303,10,1448
2007-11-04,A,577,327,210,4,690
2007-11-04,AB,223,91,47,3,264
2007-11-04,B,790,366,189,5,962
2007-11-04,O,1448,526,315,9,1650
2007-11-05,A,690,129,206,4,609
2007-11-05,AB,264,39,44,1,258
2007-11-05,B,962,155,212,5,900
2007-11-05,O,1650,169,329,13,1477
2007-11-06,A,609,171,199,5,576
2007-11-06,AB,258,71,52,2,275
2007-11-06,B,900,219,194,7,918
2007-11-06,O,1477,332,289,6,1514
2007-11-07,A,576,253,227,4,598
2007-11-07,AB,275,57,46,2,284
2007-11-07,B,918,271,209,6,974
2007-11-07,O,1514,440,308,12,1634
2007-11-08,A,598,79,199,2,476
2007-11-08,AB,284,10,47,1,246
2007-11-08,B,974,89,206,2,855
2007-11-08,O,1634,110,280,13,1451
2007-11-09,A,476,106,226,4,352
2007-11-09,AB,246,41,56,1,230
2007-11-09,B,855,117,203,3,766
2007-11-09,O,1451,179,290,10,1330
2007-11-10,A,352,104,200,3,253
2007-11-10,AB,230,34,45,3,216
2007-11-10,B,766,128,200,3,691
2007-11-10,O,1330,154,265,12,1207
2007-11-11,A,253,279,185,3,344
2007-11-11,AB,216,67,42,0,241
2007-11-11,B,691,278,193,1,775
2007-11-11,O,1207,446,290,13,1350
2007-11-12,A,344,84,239,0,189
2007-11-12,AB,241,54,40,1,254
2007-11-12,B,775,96,194,9,668
2007-11-12,O,1350,189,330,5,1204
2007-11-13,A,189,177,224,0,142
2007-11-13,AB,254,55,58,2,249
2007-11-13,B,668,181,229,4,616
2007-11-13,O,1204,258,344,6,1112
2007-11-14,A,142,141,214,0,69
2007-11-14,AB,249,34,42,1,240
2007-11-14,B,616,168,239,4,541
2007-11-14,O,1112,275,348,13,1026
2007-11-15,A,69,232,236,0,65
2007-11-15,AB,240,71,41,1,269
2007-11-15,B,541,264,219,1,585
2007-11-15,O,1026,431,382,3,1072
2007-11-16,A,65,135,200,0,0
2007-11-16,AB,269,35,127,0,177
2007-11-16,B,585,157,234,1,507
2007-11-16,O,1072,282,367,9,978
2007-11-17,A,0,133,133,0,0
2007-11-17,AB,177,37,64,0,150
2007-11-17,B,507,141,199,2,447
2007-11-17,O,978,251,340,2,887
2007-11-18,A,0,270,270,0,0
2007-11-18,AB,150,62,54,0,158
2007-11-18,B,447,272,209,2,508
2007-11-18,O,887,442,341,4,984
2007-11-19,A,0,254,254,0,0
2007-11-19,AB,158,61,56,0,163
2007-11-19,B,508,325,235,3,595
2007-11-19,O,984,455,372,6,1061
2007-11-20,A,0,340,242,0,98
2007-11-20,AB,163,89,52,2,198
2007-11-20,B,595,358,263,4,686
2007-11-20,O,1061,546,398,6,1203
2007-11-21,A,98,257,258,0,97
2007-11-21,AB,198,66,54,0,210
2007-11-21,B,686,263,293,5,651
2007-11-21,O,1203,439,384,6,1252
2007-11-22,A,97,374,278,1,192
2007-11-22,AB,210,97,47,2,258
2007-11-22,B,651,435,266,7,813
2007-11-22,O,1252,677,383,9,1537
2007-11-23,A,192,372,258,3,303
2007-11-23,AB,258,102,56,1,303
2007-11-23,B,813,403,268,3,945
2007-11-23,O,1537,685,397,10,1815
2007-11-24,A,303,197,238,1,261
2007-11-24,AB,303,71,61,2,311
2007-11-24,B,945,243,238,9,941
2007-11-24,O,1815,301,323,15,1778
2007-11-25,A,261,341,239,2,361
